Autores,Titulo,Año,ISBN,Editorial,Address,URL,DOI,Abstract
 20 LD,Abstract: The primary goal of the current study was to examine the ability of children with autism (ASD) and children with learning disabilities (LD) to improve their metaphoric competence by an intervention program using “thinking maps”. Twenty ASD children, with the LD group outperformed the ASD group in the executive function tests. The results indicate that the LD group was able to use the “thinking maps” to understand metaphors that were encountered for the first time more efficiently than the ASD group. Furthermore,,,,,, conventional metaphors understanding correlated with the homophone meaning generation test.
,Keywords: Metaphors; Intervention; Autism; Learning disabilities; Executive functions,,,,,,,
 Meng Zhang,Minjian Guo,,,,,,,
,RETRACTED: Steal like an artist: Connection between critical thinking and creativity of a future musician in a digital environment,,,,,,,
,100952,,,,,,,
,https://doi.org/10.1016/j.tsc.2021.100952.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S187118712100167X),,,,,,,
,David S. Hong,,,,,,,
,Here/In This Issue and There/Abstract Thinking: Personalized Psychiatry: Are We Almost There?,,,,,,,
 Issue 3,Volume 53,,,,,,,
,Pages 263-264,,,,,,,
,https://doi.org/10.1016/j.jaac.2013.12.014.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0890856714000070),,,,,,,
,Gordon R. Pennock,,,,,,,
,Professor Bernard (“Bernie”) Roth – His journey from kinematics to design thinking,,,,,,,
,Mechanism and Machine Theory,,,,,,,
,Pages 146-168,,,,,,,
,ISSN 0094-114X,,,,,,,
,https://doi.org/10.1016/j.mechmachtheory.2017.10.001.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0094114X17311941),,,,,,,
 research,Abstract: Dr. Bernard Roth (see Fig. 1) is the Rodney H. Adams Professor of Engineering at Stanford University and the co-founder and current Academic Director of the Hasso Plattner Institute of Design (also known as the d.school). His long and distinguished academic career at Stanford consists of significant and pioneering accomplishments in teaching, and screw theory. His text book, workshops,,,, and short courses that he has offered on creativity and design thinking., Start Doing
,Keywords: Kinematics; Mechanism and machine science; Robotics; Stanford d.school; Creativity; Innovation; Design thinking,,,,,,,
,Robyn M. Dawes,,,,,,,
,Probabilistic Thinking,,,,,,,
,Editor(s): James D. Wright,,,,,,,
,International Encyclopedia of the Social & Behavioral Sciences (Second Edition),,,,,,,
,Pages 16-22,,,,,,,
,ISBN 9780080970875,,,,,,,
,https://doi.org/10.1016/B978-0-08-097086-8.42162-8.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/B9780080970868421628),,,,,,,
 and while experienced players often had good intuitive ideas of the relative frequencies of various outcomes,Abstract: While games of chance have been played for thousands of years, especially in attempting to assess probability in everyday situations, but that when departures from coherence and accuracy occur,,,, they tend to follow a predictable pattern., one of making random errors in probability judgments but of making systematic ones that result from a number of well-known and research systematic cognitive biases and heuristics
,Keywords: Chance; Heuristics; Information theory; Risk; Thought,,,,,,,
 Louise A. Berben,Samuel M. Bhutto,,,,,,,
,Electro-positive thinking: Catalytic dinitrogen reduction using electropositive metals,,,,,,,
,Chem Catalysis,,,,,,,
 Issue 5,Volume 4,,,,,,,
,101003,,,,,,,
,ISSN 2667-1093,,,,,,,
,https://doi.org/10.1016/j.checat.2024.101003.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S2667109324001520),,,,,,,
 Arnold and co-workers describe Lewis acidic f- and d-block metal complexes that are catalysts for the conversion of N2 into secondary and tertiary amines. The origins of the remarkable selectivity and tunability of product formation are discussed in relation to molecular structure.,Abstract: In this issue of Chem Catalysis,,,,,,,
 Luca Maria Pesando,Orestes P. Hastings,,,,,,,
,What's a parent to do? Measuring cultural logics of parenting with computational text analysis,,,,,,,
,Social Science Research,,,,,,,
,Volume 124,,,,,,,
,103074,,,,,,,
,ISSN 0049-089X,,,,,,,
,https://doi.org/10.1016/j.ssresearch.2024.103074.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0049089X24000966),,,,,,,
 with middle-class parents practicing “concerted cultivation”—marked by parents' intensive efforts to foster their children's development—and working-class parents engaging in the “accomplishment of natural growth”—with children given more freedom to manage their own time. While frequently inferred that these parenting practices reflect different cultural logics of parenting,Abstract: Leading theories on parenting in the United States suggest that parenting varies widely by socioeconomic status, we find little difference in how parenting logics vary by race/ethnicity,,,,,,
,Keywords: Family; Parenting; Socioeconomic status; Computational social science; Text as data; Topic modeling,,,,,,,
,Carlos Roberto Barrios Hernandez,,,,,,,
,Thinking parametric design: introducing parametric Gaudi,,,,,,,
 Issue 3,Volume 27,,,,,,,
,Pages 309-324,,,,,,,
,https://doi.org/10.1016/j.destud.2005.11.006.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0142694X05000876),,,,,,,
,Abstract: This paper presents an innovative methodology for parametric design called Design Procedures (DP) and shows how it is applied to the columns of the Expiatory Temple of the Sagrada Familia. Design Procedures are actions that generate parametric models where geometrical components are consider as variables. A brief introduction on parametric design is followed by illustrated explanations of the traditional forms of parametric models. Design Procedures is presented as an alternative to overcome the topological and geometrical limitations of traditional parametric models. The DP is able to generate all original designs by Gaudi plus an infinite number of new designs.,,,,,,,
,Keywords: case study; computational model(s); design model(s); parametric modeling; parametric design,,,,,,,
,Understanding Is a Design Problem: Cognizing from a Designerly Thinking Perspective. Part 2,,,,,,,
,Pages 327-342,,,,,,,
,https://doi.org/10.1016/j.sheji.2019.11.019.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S2405872619300929),,,,,,,
,Gene Lesinski,,,,,,,
,Application of Value Focused Thinking and Fuzzy Systems to Assess System Architecture,,,,,,,
,Volume 61,,,,,,,
,Pages 168-175,,,,,,,
,https://doi.org/10.1016/j.procs.2015.09.182.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1877050915030124),,,,,,,
 critical assessment of candidate functional and system architectures is vital to identify optimal architectures before proceeding to subsequent lifecycle phases. Common challenges associated with generation and evaluation of system functional architectures include search of the expansive design space and assessment of key performance attributes that are particularly “fuzzy” and qualitative in early architecture development. Several assessment approaches have been presented in the literature to address the assessment challenge to include Quality Function Deployment (QFD),Abstract: Since a majority of resources are obligated during the design phase of a system lifecycle, performance,,,,,,
,Keywords: Architecture; Assessment; Fuzzy Systems; Value Focused Thinking,,,,,,,
 Christian Büchel,Jan Peters,,,,,,,
,Episodic Future Thinking Reduces Reward Delay Discounting through an Enhancement of Prefrontal-Mediotemporal Interactions,,,,,,,
,Neuron,,,,,,,
 Issue 1,Volume 66,,,,,,,
,Pages 138-148,,,,,,,
,ISSN 0896-6273,,,,,,,
,https://doi.org/10.1016/j.neuron.2010.03.026.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0896627310001972),,,,,,,
 real subject-specific episodic event cues were presented during a delay discounting task. Spontaneous episodic imagery during cue processing predicted how much subjects changed their preferences toward more future-minded choice behavior. Neural valuation signals in the anterior cingulate cortex and functional coupling of this region with hippocampus and amygdala predicted the degree to which future thinking modulated individual preference functions. A second experiment replicated the behavioral effects and ruled out alternative explanations such as date-based processing and temporal focus. The present data reveal a mechanism through which neural decision-making and prospection networks can interact to generate future-minded choice behavior.,Humans discount the value of future rewards over time. Here we show using functional magnetic resonance imaging (fMRI) and neural coupling analyses that episodic future thinking reduces the rate of delay discounting through a modulation of neural decision-making and episodic future thinking networks. In addition to a standard control condition,,,,,,,
,Keywords: SYSNEURO,,,,,,,
 Alberto Cuocolo,Carmela Nappi,,,,,,,
,The machine learning approach: Artificial intelligence is coming to support critical clinical thinking,,,,,,,
,Journal of Nuclear Cardiology,,,,,,,
 Issue 1,Volume 27,,,,,,,
,Pages 156-158,,,,,,,
,ISSN 1071-3581,,,,,,,
,https://doi.org/10.1007/s12350-018-1344-2.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1071358123017543),,,,,,,
 P.A. Angelos,Albert Powers, Jay Gandhi, Julia Rodriguez-Sanchez,,,, Rashina Seabury, Catalina Mourgues
,A computational account of the development and evolution of psychotic symptoms,,,,,,,
,https://doi.org/10.1016/j.biopsych.2024.08.026.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0006322324015841),,,,,,,
 well after symptoms emerge. These investigations have yielded key insights,Abstract: The mechanisms of psychotic symptoms like hallucinations and delusions are often investigated in fully-formed illness, which engenders inappropriate belief formation via aberrant prediction error signaling. We will argue that this bottom-up noise drives learning about the (im)precision of new incoming sensory information because of diminished signal-to-noise ratio,,,,,,
,Keywords: computational psychiatry; hallucinations; perception; psychosis; nosology,,,,,,,
 Ayhan Gücüyener Evren,A. Salih Bıçakcı,,,,,,,
,Thinking multiculturality in the age of hybrid threats: Converging cyber and physical security in Akkuyu nuclear power plant,,,,,,,
,Nuclear Engineering and Technology,,,,,,,
 Issue 7,Volume 54,,,,,,,
,Pages 2467-2474,,,,,,,
,ISSN 1738-5733,,,,,,,
,https://doi.org/10.1016/j.net.2022.01.033.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1738573322000687),,,,,,,
 cyber security becomes a significant concern for NPPs since swift digitalization and overreliance on computer-based systems in the facility operations transformed NPPs into targets for cyber/physical attacks. Despite technical competencies,Abstract: Nuclear Power Plants (NPPs) are the most protected facilities among all critical infrastructures (CIs). In addition to physical security, the link between “national cultures” and “nuclear security” is underestimated in nuclear security studies. By relying on Hofstede's national culture framework,,,,,,
,Keywords: Nuclear power plants; Nuclear security; Security culture; Nuclear security culture; National culture; Cyber-physical security,,,,,,,
 James M. Hogan,Lawrence Buckingham,,,,,,,
,Computational Science for Undergraduate Biologists via QUT.Bio.Excel,,,,,,,
,Pages 1403-1412,,,,,,,
,https://doi.org/10.1016/j.procs.2014.05.127.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1877050914003044),,,,,,,
 and may require substantial tutorial assistance over an extended period if progress is to be made. In this paper we report our experience of undergraduate bioinformatics education using the familiar,Abstract: Molecular biology is a scientific discipline which has changed fundamentally in character over the past decade to rely on large scale datasets – public and locally generated - and their computational analysis and annotation. Undergraduate education of biologists must increasingly couple this domain context with a data-driven computational scientific method. Yet modern programming and scripting languages and rich computational environments such as R and MATLAB present significant barriers to those with limited exposure to computer science, external tools and interactive processing within the spreadsheet,,,,,,
